LOCATION,ZIPCODE,REPORTED_DATE,WIND_AVG,PRECIPITATION,SNOW,SNOWDEPTH,TEMP_MAX,TEMP_MIN
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-02,7,0.15,0.0,0.0,82,54
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-03,4,0.01,0.0,0.0,58,51
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-04,3,0.06,0.0,0.0,60,46
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-05,9,1.36,0.0,0.0,52,46
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-06,6,0.0,0.0,0.0,59,43
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-07,8,0.21,0.0,0.0,88,64
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-08,8,0.0,0.0,0.0,79,62
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-09,8,0.0,0.0,0.0,50,46
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-10,9,0.03,0.0,0.0,81,56
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-11,9,0.03,0.0,0.0,67,54
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-12,11,1.33,0.0,0.0,53,40
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-13,10,0.93,0.0,0.0,56,48
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-14,7,0.32,0.0,0.0,59,50
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-15,9,0.01,0.0,0.0,63,40
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-16,5,0.03,0.0,0.0,62,43
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-17,11,0.02,0.0,0.0,83,58
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-18,8,0.0,0.0,0.0,73,54
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-19,9,0.06,0.0,0.0,83,58
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-20,14,0.0,0.0,0.0,91,69
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-21,15,0.0,0.0,0.0,65,51
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-22,9,0.0,0.0,0.0,86,62
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-23,8,0.46,0.0,0.0,68,50
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-24,15,0.0,0.0,0.0,65,50
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-25,9,0.0,0.0,0.0,63,51
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-26,12,0.23,0.0,0.0,102,69
